TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1048,7998,7998,8180,14808,19519,20863,22639,23167,15160,19935,21519,23199,23759,node0
1049,8146,8146,7823,15368,19215,21311,23135,23167,15672,19631,20527,23839,23903,node0
1050,7780,7780,7885,15400,19759,20895,22575,23695,15824,20271,20895,23407,24415,node0
1051,7747,7747,7478,14864,19695,20847,22447,23007,14384,20111,20959,23071,23519,node0
1052,7539,7539,7552,14744,19663,21295,22911,22959,14424,19679,21503,23487,23583,node0
1053,7591,7591,7523,15240,19183,20767,22991,23519,15048,19567,20559,23647,24191,node0
1054,7608,7608,8047,14680,19679,20767,22367,22895,14544,19903,21487,22719,23247,node0
1055,8110,8110,7981,15200,19599,21247,22831,22863,14136,19999,21071,23263,23311,node0
1056,7931,7931,7968,14600,19039,20799,22335,23327,14184,19407,20623,23279,23775,node0
1057,7812,7812,7898,13992,19535,20655,22367,22831,13736,19695,20767,22463,23807,node0
1058,7870,7870,7753,14536,19567,20671,22895,22911,14832,19903,20479,23023,23519,node0
1059,7812,7812,7816,14296,20175,21327,22511,23087,14088,20159,21151,23327,23903,node0
1060,7979,7979,8185,14408,19807,20927,22575,23119,14280,19951,20815,23487,24047,node0
1061,8421,8421,8199,14880,19903,21087,22703,23263,14480,19887,21455,23695,24255,node0
1062,7836,7836,8049,15080,19455,20543,22751,22799,14704,20015,21151,23391,23439,node0
1063,8164,8164,7955,15104,20047,21119,22783,23311,14400,20159,21279,23487,23583,node0
1064,8200,8200,8396,14608,20031,20943,22703,23295,14912,20399,21871,23631,24095,node0
1065,8097,8097,7932,15104,20031,20607,23231,23263,15008,20335,21071,24159,24671,node0
1066,7649,7649,7764,15144,20031,21647,23247,23759,16048,19887,21999,23679,23727,node0
1067,8034,8034,7904,15176,19455,20575,23215,23263,14728,19551,20687,23359,23791,node0
1068,7807,7807,7789,15184,19999,21135,22863,23343,15248,20015,21199,23471,23919,node0
1069,7813,7813,7498,15784,19535,21103,23391,23423,15952,20351,20927,24015,24047,node0
1070,7638,7638,7719,15832,20255,21679,22847,23375,15952,20463,21551,23151,23695,node0
1071,6345,6345,6577,0,0,0,0,0,0,0,0,0,0,node0
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1073,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1074,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1076,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1077,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1078,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1079,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1081,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
1082,0,0,0,0,0,0,0,0,0,0,0,0,0,node0
