TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2227,10950,10951,10302,11960,16231,16735,17935,18847,12208,16479,16975,18655,19775,node1
2228,9411,9410,9828,12464,16319,16719,16927,16959,13384,16359,17247,17391,17407,node1
2229,9748,9748,10356,12520,16239,16735,17983,18815,12752,16655,17087,18527,19359,node1
2230,10663,10663,9758,11752,16447,16863,17935,18351,12560,16703,17071,18239,18655,node1
2231,10268,10268,10512,12464,16255,16335,17055,17071,13312,16327,17215,17279,17279,node1
2232,9775,9776,10184,12512,16271,16735,17919,18367,12152,16159,16975,18719,19183,node1
2233,10921,10920,10258,12344,16359,16767,18719,19151,12536,16359,17231,19583,19967,node1
2234,9888,9888,10144,12504,16303,16767,18015,18463,12840,16127,16911,18447,18895,node1
2235,10167,10167,10014,12096,16343,16815,18095,18463,12632,16495,17327,18751,19151,node1
2236,10198,10198,10271,12928,16703,16863,17631,17631,13368,16311,16367,17407,17407,node1
2237,10094,10094,9952,12448,16255,16735,17999,18815,12720,16127,16959,18943,19727,node1
2238,10162,10162,10193,12904,16247,16511,17167,17167,13424,16383,17327,17471,17471,node1
2239,9245,9245,10130,12224,16255,17103,18031,18431,12440,16311,17167,18479,18895,node1
2240,9627,9627,9703,12720,16767,17583,17599,17615,13304,17407,18367,18383,18399,node1
2241,11053,11053,10095,12272,16359,16847,17983,18415,12624,16479,17119,18319,19215,node1
2242,9607,9607,10114,12952,16511,17263,18063,18479,12904,16735,17391,18527,18943,node1
2243,9848,9848,9883,12344,16543,17135,18207,18639,12760,16847,17407,18767,19247,node1
2244,10290,10290,9619,14488,16671,17039,18655,18671,14352,16527,17487,19263,19279,node1
2245,9674,9674,10081,12440,16575,17103,18319,19167,12520,16799,17551,19151,19999,node1
2246,9838,9838,9825,12760,16271,17151,17871,17871,13248,17215,17279,18399,19183,node1
2247,9876,9876,9782,12832,16687,17135,18351,18719,13048,16607,17615,18847,19279,node1
2248,10249,10249,10071,13224,16263,17135,19023,19487,13400,16767,17855,19567,20031,node1
